brand,model,year,price,by_agreement,mileage_km,transmission,fuel_type,color,registration,registration_date,damaged,image_link,link
Mercedes-Benz,B 150,2008,6200.0,False,120000-129999,Рачен,Бензин,Црна,Македонска,,False,https://media.pazar3.mk/Image/93aebc4b-6f36-41ad-aaa2-1216b5627ac3/20250121/false/false/1280/960/mercedes-b150.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/mercedes-benz/B-%D0%BA%D0%BB%D0%B0%D1%81%D0%B0/B-150/prodazba/skopje/karpos/mercedes-b150/6307292
Land Rover,Range Rover Velar,2019,42000.0,False,150000,Автоматски,Нафта / Дизел,Црвена,Македонска,,False,https://media.pazar3.mk/Image/322d4ad3-6196-48a5-8986-650f79dd948c/20250410/false/false/1280/960/range-rover-velar-2-0d-240ks-neuvezuvan.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/land-rover/drug-model/prodazba/skopje/karpos/range-rover-velar-2-0d-240ks-neuvezuvan/6868518
Ford,Focus,2014,8900.0,False,85000 - 89999,Рачен,Нафта / Дизел,Бела,Македонска,,False,https://media.pazar3.mk/Image/cdc5a47a-06fa-4621-a7c9-7541c6c0e226/20250416/false/false/1280/960/ford-focus-titanium-2-0tdci-neuvezen.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/ford/junior/prodazba/skopje/karpos/ford-focus-titanium-2-0tdci-neuvezen/6880870
Chevrolet,Captiva,2013,10900.0,False,200000,Автоматски,Нафта / Дизел,Црна,Македонска,,False,https://media.pazar3.mk/Image/6dbd680f86154214be7e6de201cbb0ed/20250413/false/false/1280/960/chevrolet-captiva-2013-2-2-face-lift.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/chevrolet/alfa-33/prodazba/kavadarci/kavadarci-opstina/chevrolet-captiva-2013-2-2-face-lift/6843843
Mercedes-Benz,GLB,2022,34500.0,False,100000-109999,Автоматски,Нафта / Дизел,Бела,Македонска,,False,https://media.pazar3.mk/Image/e512dd92ef8c424f88baa99a67228829/20250409/false/false/1280/960/mercedes-glb200d-150ks-dct-2022g.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/mercedes-benz/GLB/prodazba/kriva-palanka/mercedes-glb200d-150ks-dct-2022g/6310697
Volvo,XC 60,2022,39900.0,False,30000,Автоматски,Бензин,Бела,Македонска,,False,https://media.pazar3.mk/Image/e6ba2b53eae44930bde0f48425e10694/20250416/false/false/1280/960/volvo-xc60-fwd-2-0-197ks-benzin-30-000km-2022god-avtomatik.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/volvo/turbo-r/prodazba/skopje/karpos/volvo-xc60-fwd-2-0-197ks-benzin-30-000km-2022god-avtomatik/6805158
Škoda,Octavia,2011,1.0,False,300000-349999,Автоматски,Нафта / Дизел,Бела,Странска,,False,https://media.pazar3.mk/Image/7a2ebe47-89ef-498d-a702-3d575c8154f7/20250407/false/false/1280/960/skoda-oktavi-rs-2011.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/skoda/rs6/prodazba/kumanovo/lipkovo/skoda-oktavi-rs-2011/6857052
Chevrolet,Cruze,2011,4700.0,False,150000 - 159999,Рачен,Плин (ТНГ) / Бензин,Сива,Македонска,,False,https://media.pazar3.mk/Image/063dd1b2d22f47fe9a36650f1274f1ca/20240911/false/false/1280/960/chevrolet-cruze-1-6-benzin-plin-111ks-2011.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/chevrolet/alfa-33/prodazba/skopje/aerodrom/chevrolet-cruze-1-6-benzin-plin-111ks-2011/5838211
BMW,318i,2010,7200.0,False,170000-179999,Рачен,Бензин,Сива,Македонска,,False,https://media.pazar3.mk/Image/275f23a6-bcbb-49d0-997b-bd954c01f8ca/20250307/false/false/1280/960/bmw-e90-318i-2010-facelift.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/bmw/3-%D1%81%D0%B5%D1%80%D0%B8%D0%B8/city/prodazba/kumanovo/lipkovo/bmw-e90-318i-2010-facelift/6805348
Audi,A3,2014,13800.0,False,250000 - 299999,Рачен,Нафта / Дизел,Црна,Македонска,,False,https://media.pazar3.mk/Image/50abcb3b-34e9-4b1f-b0f5-675dcf131dfb/20250413/false/false/1280/960/audi-a3-prv-sopstvenik.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/audi/A3/prodazba/skopje/aerodrom/audi-a3-prv-sopstvenik/6869494
Audi,A5,2007,8800.0,False,200000 - 249999,Автоматски,Нафта / Дизел,Сива,Македонска,,False,https://media.pazar3.mk/Image/40018c87-4eb3-41ad-8bfb-4033079ea93c/20250321/false/false/1280/960/audi-a5.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/audi/A5/prodazba/gostivar/gostivar-opstina/audi-a5/6820729
Fiat,500 Abarth,2010,12500.0,False,90000 - 94999,Автоматски,Бензин,Бела,Македонска,,False,https://media.pazar3.mk/Image/a7dd171f-5da2-41ce-a6bb-d07034407137/20250416/false/false/1280/960/fiat-500abarth-cabrio.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/fiat/giulietta/prodazba/skopje/centar/fiat-500abarth-cabrio/6880887
Audi,S3,2017,35000.0,False,100000-109999,Автоматски,Бензин,Црна,Македонска,,False,https://media.pazar3.mk/Image/164d822d-71b9-427f-8ea4-941b7f633276/20250301/false/false/1280/960/audi-s3-2-0tfsi-310ks-+chip.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/audi/S-%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D0%B8/S3/prodazba/skopje/centar/audi-s3-2-0tfsi-310ks-+chip/6652597
Toyota,RAV 4,2002,5600.0,False,200000 - 249999,Рачен,Нафта / Дизел,Сива,Македонска,,False,https://media.pazar3.mk/Image/2bf17fa1-864f-46bc-acde-5650929bdd60/20250416/false/false/1280/960/toyota-rav4-2-0d4d-so-klima.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/toyota/RAV-4/prodazba/skopje/centar/toyota-rav4-2-0d4d-so-klima/6880889
Ford,Ranger,2016,40000.0,False,50000 - 54999,Автоматски,Нафта / Дизел,Црна,Македонска,,False,https://media.pazar3.mk/Image/b0a52ff9-d777-4761-8b87-36ddea2d66de/20250301/false/false/1280/960/ford-ranger-3-2tdci-200ks-so-full-oprema.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/ford/junior/prodazba/skopje/centar/ford-ranger-3-2tdci-200ks-so-full-oprema/6652600
Volvo,S70,1997,2990.0,False,250000 - 299999,Рачен,Бензин,Сребрена,Македонска,,False,https://media.pazar3.mk/Image/5dbb62ae5bc6481abfb71d5bb09159dd/20250405/false/false/1280/960/volvo-s70-unikatna-prilika-mehanicki-restavrirano.jpeg?noLogo=true,https://www.pazar3.mk/oglas/vozila/avtomobili/volvo/turbo-r/prodazba/skopje/aerodrom/volvo-s70-unikatna-prilika-mehanicki-restavrirano/5542937
